#"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
1009.9999999899404	-468134.56743127096	74271.50028266093	297.08193796006196	299.95998120889385	0.9992667425237151	0	--
1019.999999989704	-467596.21403492196	74910.54436304906	299.63807932143334	299.26002889789913	1.0016039710146216	258	18:32:58
1029.9999999894676	-468789.6989335213	74758.8589157905	299.031345830654	298.31661625677003	1.0047714977166775	258	18:32:37
1039.9999999892311	-467005.9457175449	74265.34276378268	297.05730822140833	300.8820438556076	0.9962044576310127	258	18:32:37
1049.9999999889947	-467980.95908086875	73149.32071387068	292.5932810759728	299.01881714784236	1.0024119423958768	258	18:32:29
1059.9999999887582	-469103.94072455197	74034.6349623942	296.13448963718486	300.02846019662593	0.9990386682438368	258	18:32:37
1069.9999999885217	-468319.2374054681	74788.02079487752	299.14799175164336	298.65533813769065	1.0036319296321952	258	18:32:31
1079.9999999882853	-468150.61383620393	75288.106474033	301.1483071100806	300.1207340876028	0.9987315079090621	258	18:32:32
1089.9999999880488	-469800.8678184504	74011.42017049703	296.04163173960774	299.9289240992064	0.9993702148277711	258	18:32:32
1099.9999999878123	-467518.5154205285	74687.53346701676	298.74604793756004	301.4365965867392	0.9943717408706715	258	18:32:32
1109.9999999875758	-468868.1969264278	74080.707796679	296.31877845381774	299.32037259869094	1.0014020452659194	258	18:32:42
1119.9999999873394	-468317.81352769514	73926.71089145525	295.7027992576307	300.2491109784986	0.9983044823454984	258	18:32:46
1129.999999987103	-467721.90417322324	74507.6609743067	298.0265678070033	301.5744259281963	0.9939172805768783	258	18:32:46
1139.9999999868664	-467574.13105701003	74370.93688277875	297.4796789206557	299.9896004910147	0.9991680805583925	258	18:32:45
1149.99999998663	-468213.0207857007	75331.4086794078	301.3215135626463	298.4943885551135	1.0041730927036931	258	18:32:43
1159.9999999863935	-468748.6448488529	74222.89559148856	296.8875218543891	300.00792955204423	0.9991070361294848	258	18:32:37
1169.999999986157	-468381.9392655261	74446.28629631618	297.7810724526654	299.4285729484438	1.001040182500205	258	18:32:30
1179.9999999859206	-468191.4716170178	73829.27998326272	295.31308095501277	299.8781448020335	0.9995394412885992	258	18:32:29
1189.999999985684	-468619.7597120455	74462.9256500722	297.84762895740045	298.88591738054464	1.0028576653494652	258	18:32:25
1199.9999999854476	-467510.13682481577	74516.52119450754	298.06200820309067	300.24423528505207	0.9983206939027913	258	18:32:19
1209.9999999852112	-466860.15355822165	74614.03888056624	298.45207361242586	301.1144754571099	0.995435482983881	258	18:32:14
1219.9999999849747	-468119.3184442866	74221.38878951376	296.8814947289225	299.80912943680636	0.999769532946345	258	18:32:07
1229.9999999847382	-468051.4072756538	74434.04230243976	297.73209714699186	300.48999187387386	0.9975042145027497	258	18:32:09
1239.9999999845018	-468836.258650353	75099.66609276483	300.3945558940149	300.2140931260713	0.9984209275086028	258	18:32:06
1249.9999999842653	-468066.6316608083	73758.80785414456	295.03119629385856	300.66792069216586	0.9969139129311048	258	18:32:03
1259.9999999840288	-468655.6265955756	74230.12350813948	296.9164331255752	299.315431283143	1.0014185771349073	258	18:32:02
1269.9999999837923	-468175.4088974212	74165.52632903481	296.65804794307405	300.92596784576136	0.9960590488612033	258	18:32:00
1279.9999999835559	-468933.5212932465	74897.78378294996	299.58703769912984	299.4589372880167	1.000938679688825	258	18:31:56
1289.9999999833194	-467274.24430187396	73895.00543517878	295.57597916703503	301.48167923625005	0.9942230455576074	258	18:31:50
1299.999999983083	-468524.93488032464	74322.50607510784	297.285958339476	298.97285422804237	1.002566049295762	258	18:31:41
1309.9999999828465	-468153.25753858715	74949.44836355357	299.7936931951304	299.7986119331198	0.9998046067569963	258	18:31:36
1319.99999998261	-468778.12010102195	74672.83340512202	298.68724849417725	301.18673268364057	0.9951966696518669	258	18:31:34
1329.9999999823735	-468196.73140518065	74512.8629178554	298.0473752966154	301.15990385088674	0.9952853267561688	258	18:31:30
1339.999999982137	-468840.4371701528	74273.2381373941	297.08888928392184	301.0427319663721	0.9956727118180969	258	18:31:23
1349.9999999819006	-467262.4401848387	74703.4617382812	298.80976015122997	299.1306957250139	1.0020370279405644	258	18:31:21
1359.9999999816641	-468929.18041513395	74802.47016924627	299.2057884586365	299.0231264306446	1.0023974964344702	258	18:31:21
1369.9999999814277	-468402.29766773665	74936.62425276251	299.7423974535347	299.71121527734005	1.000096152667225	258	18:31:20
1379.9999999811912	-467761.53644702095	75028.82061818821	300.11117787145145	301.2647179303798	0.9949390534983058	258	18:31:16
1389.9999999809547	-468049.495743202	74771.41169696688	299.08155626863464	299.9592178796397	0.9992692854345236	258	18:31:12
1399.9999999807183	-468163.9789202191	74729.20440306661	298.9127294020678	301.07692495445986	0.9955596343207774	258	18:31:08
1409.9999999804818	-468806.1639093006	74917.46558760745	299.6657638410275	299.6223622207254	1.0003927313318293	258	18:31:04
1419.9999999802453	-468551.16136900795	74655.89200608012	298.6194838248227	299.9762667721577	0.9992124928261377	258	18:31:02
1429.9999999800089	-467457.32314190234	74496.02253626472	297.98001469153934	300.52410007673365	0.9973910020312937	258	18:30:59
1439.9999999797724	-468614.63610904734	74952.95587009765	299.80772302942154	299.03766223457757	1.0023487712894092	258	18:30:56
1449.999999979536	-468802.042526018	75270.8211210337	301.07916664371317	299.5155489095822	1.0007494916418236	258	18:30:55
1459.9999999792994	-469115.5417682694	74610.73476163356	298.4388573174536	298.9976828428395	1.002482796723334	258	18:30:52
1469.999999979063	-468419.44580995315	75191.65078605684	300.76248963497676	301.21982944910485	0.9950873216357466	258	18:30:50
1479.9999999788265	-469281.8789210642	74536.57432959363	298.14221964638824	300.0618012468292	0.9989276611171233	258	18:30:47
1489.99999997859	-468592.65604425536	74030.66117982157	296.1185947242881	300.77989752284736	0.9965427735652372	258	18:30:44
1499.9999999783536	-469195.817635905	74234.67867994857	296.9346535636118	300.9611548267586	0.9959425942614575	258	18:30:40
1509.999999978117	-467871.45596494933	74467.22544923484	297.86482791882196	300.3065263025107	0.9981136174448173	258	18:30:36
1519.9999999778806	-467886.68144767644	75030.31418066156	300.1171520396365	300.95693877025934	0.99595654625826	258	18:30:32
1529.9999999776442	-467877.1558358378	74246.35193237009	296.9813459346893	300.1819532634239	0.9985278263781903	258	18:30:28
1539.9999999774077	-467216.42414394394	74928.9098791793	299.71154038123206	300.18262847548283	0.998525580352053	258	18:30:25
1549.9999999771712	-467318.85727795376	74543.69718968557	298.1707106970857	301.0416347815326	0.9956763406749667	258	18:30:24
1559.9999999769348	-467249.8381760185	74312.50774220182	297.24596555483066	300.5343288588673	0.9973570555091091	258	18:30:18
1569.9999999766983	-467998.66955775674	74125.00884439953	296.49598022112275	300.42950243711925	0.9977050551911845	258	18:30:14
1579.9999999764618	-468142.4351813125	74812.59961957729	299.24630570580877	299.3838181127839	1.0011898278255242	258	18:30:11
1589.9999999762254	-467573.4395369004	74775.87696365187	299.0994170910933	301.14141327918276	0.9953464388911618	258	18:30:08
